UP_list	DOWN_list
ZNF14	LOC642943
CD7	CATG00000018214.1
MPZL3	NRP1
FGD5	DHFR
MED8	PLSCR2
SLC2A4RG	RP11-276H7.3
CFAP61	AACS
RARG	TAF6
TOP1P2	CAPN13
RTN4	AHSA1
SMCO4	MASP2
PKP4	TRAK2
LPAR6	CD14
FAM219B	ZFAS1
HSPA1B	LARP1B
LOC100506358	ATXN3
EPN2	POLR2B
SNORD3H	KIF4A
ZFAND1	hsa-mir-4739
ARMC5	STOML2
ENSA	EHF
RGS12	SNORA47
USP3	AC069513.3
RETN	ADAM28
DGKG	TYSND1
NDRG2	DTNA
TRIP4	SYNCRIP
INTS6	BTBD3
MED6	ADAP2
LOXL3	TRIP6
CATG00000107322.1	PRDM5
DUT	IGSF8
CHMP5	APP
CHPF	KALRN
FNDC5	FNTA
NFKBIL1	ZNF813
ZNF208	hsa-mir-6766
pri-3-hsa-mir-933	DNAJB11
HSD17B6	C12orf4
SNX13	C1QTNF3-AMACR
PLK2	SRRM2
CATG00000115745.1	CDK9
ZNF664	KB-1572G7.2
PRRG3	LCN6
NAA60	RP11-1223D19.3
RNPEPL1	STAT6
FRYL	ANKHD1
SIPA1L1	HBQ1
FXYD5	C1orf56
HLA-DMB	SLC46A3
TMEM184B	KRT8
PRRG4	LSR
GLRA2	GTPBP2
FBXO27	AFF1
TMEM88	ZNF177
MLLT10	LARP7
COMMD10	ZNF655
B4GALNT2	CNN2
AC144835.1	MDM1
CMA1	CEP70
HNRNPLL	LOC101929882
ARPP19	CENPN
PCYOX1L	ZRSR2
GFPT1	CD63
ETFDH	EIF2A
MAP9	PGLYRP4
FLII	RAB40AL
FSCN3	LCOR
YWHAE	EIF6
CTSW	TARS
RBMX	pri-3-hsa-mir-320d-1
COL12A1	KLHL6
TAPBPL	RP11-66D17.5
GOSR2	OTUD7B
TRPV3	EPM2A
CATG00000040303.1	PPP4C
GBP2	ESCO1
BEAN1	UBE2C
AC007743.1	PDE8B
ALS2	HNRNPF
USP30	RAD21
FHL5	BEND5
FAM76B	SLBP
ALKBH2	SLC12A8
NR2F1	ILKAP
CATG00000029702.1	TMEM209
CUL2	MYMX
RNF41	FAM118B
ACOT7	MFSD3
MOK	LRMP
NUDT8	ZNF655
ZNF610	UBR3
LSM14A	KIFC3
PGD	PDE1B
DOK5	PIK3R5
CDIP1	AC037459.4
SYNJ2BP-COX16	BCKDK
NEIL2	EEF1AKMT4
PTX3	CCDC7
HNRNPC	MAP4K4
SLC12A6	CFAP99
AC003029.1	TMEM184B
ZNF274	GGA3
SRSF3	RP11-397E7.6
SMEK1	NBPF3
C18orf32	C11orf73
RP11-57H14.4	KHDRBS1
MAT2A	KDM5C
CEACAM21	E2F6
ARL8B	DBI
EBI3	ATPIF1
ACYP2	PDPK1
MRPL37	DENND1A
TAF15	NPM1
NEDD1	ANP32B
MLYCD	pri-3-hsa-mir-6803
ZNF287	ABI1
RP11-706O15.1	DIS3L2
CATG00000083839.1	CHL1
PAFAH1B2	CLCC1
AP001629.8	DCP1B
TIMMDC1	ZNF185
HIGD2A	KLHL42
NDUFA8	BCAS1
NEUROG2	CHD1L
SEC14L1	pri-3-hsa-mir-26b
C1orf52	JHDM1D-AS1
DTWD1	EPHX1
SRSF10	COA1
EGFL6	HACL1
RP4-816N1.8	MTUS1
YY2	BANP
CPM	TAF12
PCDH11X	MTFR1L
SP7	OGFRL1
ZBED5	ZNF814
WDR82	BIN1
PNPT1	TOP1
PCOLCE-AS1	VPS8
PEPD	CRELD2
CTNND1	SIAH1
HPS4	TVP23C
ATF5	MTF2
CARD8	FKBP8
ITGB6	PDE9A
PRKCSH	SPAG9
FAM32A	CTU2
ZNF12	RP11-78H24.1
ELK1	VEZT
PRKRIP1	TAZ
COPS5	RCC1
MS4A10	BTBD7
OBSCN	CD46
DLEC1	PGM3
FXYD6	PAXIP1
SCARF2	PIP5K1C
MAPK14	EXT1
RGS5	GIT2
SEC14L1	SRPK3
FAM114A2	PCCA
UTF1	MAGED1
DDX59	RP4-564F22.2
TTYH2	PRPSAP2
TICAM2	SUCO
AC064853.3	NDUFAF7
DDX3Y	ARHGEF9
AC066595.1	DAPK1
CPQ	RP11-152F13.10
GYG2	DMKN
THEMIS2	AC002480.4
UPF3A	WDR20
RP5-1097F14.3	RNF168
NFIX	S100PBP
TDP1	CCNB3
CATG00000031702.1	EHBP1
TAOK2	ARHGAP11A
EDNRA	SYNCRIP
CATG00000063921.1	LARP4
BRDT	TMIGD2
SLC25A29	C10orf95
RSBN1	C2CD4A
CST3	RDH10
KRT16	GTF3C5
RGS2	NAB2
LENG8	RP11-558F24.4
PSEN1	ARHGAP4
MAP4	ING4
DDX17	METTL14
ASH2L	IGLL1
NRP1	TMEM51
PITPNC1	RC3H2
SNX13	STEAP2
SLC3A2	SLC27A5
MCTS1	BEND5
CTC-525D6.1	NDC80
RP5-1120P11.1	GNG4
CCDC51	CCDC146
PPP2R5C	SLC29A1
ADAR	TC2N
TNFSF13B	NRL
SEMA3B	STAT2
MRPS11	PRICKLE3
SSTR5	RP11-161M6.2
ABLIM3	C14orf156
RP11-383G10.5	ELAC1
LTF	PLA2G7
UTP11	FAM86C1
TRPV4	DTD1
RP11-299G20.2	SOCS4
MAPK10	OTOG
OXER1	ZNF611
BARD1	KAT6B
C11orf96	IL4R
XBP1	FNDC4
TNFSF4	ITFG2
FLT4	TRA2A
SLC52A1	ANAPC5
COX15	PMPCA
SFTPD	SYT7
TMEM39B	PDK1
AUTS2	REPS1
SLC14A2	ZKSCAN8
AIDA	MLLT10
TOR1AIP2	CAMK2G
CORO1B	HELLS
MGAT4B	NDUFB4
SH3RF3	KHSRP
ATG7	PHF2
APH1A	POLR2A
CYB5B	METTL13
USP16	RP11-293G6.1
TSEN2	RP11-514P8.11
ZNF276	GEM
PSMD6	GSX2
ZCCHC3	hsa-mir-3691
DHRS2	NUDT18
RBM28	EXOC4
NISCH	ICAM2
SDHAF2	ZNF331
LONRF3	CACFD1
AFAP1	ALDOB
GTF3C5	DDX23
VPS26A	MRPL13
C21orf131	BIN1
ATF4	RCAN3
LDHB	AC013268.5
SDS	SHC1
GAS5	NUDCD3
KIAA1217	TK2
CATG00000058631.1	NUBPL
CAND1	PUM2
MS4A7	OR5A1
TRIM22	PDLIM5
NRG1	PRDX3
PRAMEF13	EFS
HTR5A	RSRP1
FXYD7	BRE
TM6SF1	ENOSF1
COPS3	MTRR
LRRC40	GPBAR1
DOCK7	TUBGCP2
CATG00000070293.1	CACNA1D
MGAT1	TRMT1
ABCG1	ZMYM3
PUS1	ZNF568
RNF14	FPGS
KPNA2	REV1
CATG00000038258.1	STT3B
SLC44A1	C17orf89
LOC101409256	RPS7
CATG00000038319.1	RP3-468B3.3
SLC31A2	TRABD
ECHS1	PML
hsa-mir-548az	RP3-508I15.19
pri-3-hsa-mir-940	SRP68
LTA4H	ZFAS1
RASGRP2	HMGN3
POLA2	PRKAR2A
ACOT7	CHD2
ENTPD1	BPNT1
AP2M1	ZBTB9
MPZL3	RSRP1
NUPR1	DLC1
FICD	SLC13A5
SURF1	SMIM7
CATG00000030334.1	ZNHIT6
AARD	C11orf24
HJURP	COL4A1
AC005154.6	GTF2I
SERBP1	DDIT3
44813	DHODH
DYM	NAA15
LILRA6	YBEY
ACBD5	MKL2
RP11-134P9.1	GTPBP10
DPH1	MDH2
FGFR1	TNIP1
CTD-2135J3.2	RIC8B
EBF1	RP11-207N4.2
LOC107985544	MRPS25
PRKD1	DHX15
GSTP1	CBLB
SNU13	TMX2
FAM53B	ANKRD42
GTF2H4	CDKN2AIP
TMEM200B	C1orf43
EXOSC9	HNRNPU
GJD3	TOMM40
C1orf53	SGSM1
CCT4	PEX13
ATP6V0B	TRMT11
C1orf61	EML4
NFU1	TM9SF1
ASXL2	PLAT
ADAMTSL4	BEX2
RP11-492E3.1	SNORD91A
IL1RL1	ZNF746
B3GNT8	PARP6
VPS13A	LCN15
MTHFD1L	ZGPAT
CLEC7A	NDUFAF6
TMEM225B	MUC20
PIGA	TFPT
ZNF431	MCM3
INHA	HNRNPC
EDF1	ERI2
HAP1	ZNF101
RP11-159J2.2	CLNS1A
PDHB	NDUFA13
RALA	ABL2
PPP1R14A	hsa-mir-6752
BAX	NQO2
BCL2L12	ACSS2
TGOLN2	CALML4
SUOX	CATG00000083517.1
HOXA13	RF00410
TFAP2A	POLR1D
HIP1	RAB40C
ZYX	RYR1
TSNAXIP1	LPCAT1
SATB2	UHRF1
SMTN	RIMKLB
NEU3	ADD3
C8orf48	HNRNPF
TRPC1	UNC5CL
FCN3	HIST1H2AC
CTNND1	SPDYC
TMEM217	ARHGAP8
ADK	PNPLA5
SRSF10	EMC8
EIF4A3	DPY19L4
PAK4	IL4R
ADPRHL2	MRPS25
KAT6A	FAM63A
KDM8	RCOR3
PSG6	BCAS4
C3orf80	IDH1
KRTAP5-4	INTS10
UBXN2A	DHFR
CATG00000111204.1	KIAA1429
INPP1	AC010883.5
TIMM8B	C16orf62
RAB5B	CDC16
SMIM12	ZFR
ALKBH1	U73166.2
ASB13	PRPF31
pri-3-hsa-mir-744	FAM104A
ZNF345	VPS72
TMEM14B	SLC35E2B
MARK2	AC093726.6
CDK2AP2	NOLC1
RP4-593C16.2	GPR89C
ASH2L	ZSCAN21
DYNLRB1	RP11-111H13.1
AC138647.1	SCNN1A
TECTB	ST7L
GTPBP3	ING5
DNAJB6	ERCC6
PLCD3	RP11-36B6.2
SPTLC1	RIBC1
TRAK1	FAM134C
RRN3	ARHGEF38
ERICH3	C11orf24
ZNF264	PREB
SLC25A14	NR1I3
MEGF9	SNORA68B
RNPS1	SETDB2
CFLAR	TMEM205
ANXA7	TAF1C
RP11-572M11.3	WNT7B
SENP1	SP140L
SAV1	RP4-564F22.2
TAF3	ZNF140
C10orf110	SEMA3E
UBE2V1	NRXN2
MARK3	IDI1
RF00272	BTBD3
LIMA1	SYF2
NAF1	SHISA8
ZNF224	ABCB8
KCTD12	DLEU2
AK2	TADA2A
ATP2B4	TMEM136
ARID4A	TSTD2
SPOCD1	MFSD10
DLL4	LPIN1
GNPTG	TVP23A
TPRKB	RP5-1171I10.4
PDE5A	RP11-390F4.3
COASY	HFE
FBXO4	TRAPPC2B
PTGER2	OGG1
NCR2	PIBF1
ARPC5	POMT1
TLE2	INCA1
HNRNPUL2-BSCL2	SPAG1
FGFR1	LSM1
FAM111A	RPS9
SLC1A1	TTF2
RNF180	THAP1
HSD17B1	FAAH2
RP11-143J12.2	TMEM145
CTAGE1	MAGIX
TREH	NTHL1
RF01210	SMG5
NCRNA00029	INSIG2
SULT2B1	EBPL
pri-3-hsa-mir-4535	DNPH1
RP11-761E20.1	CEP295
pri-3-hsa-mir-3679	BAIAP2L1
LAMTOR2	SCTR
LEUTX	GLO1
AGO3	LRRC23
CATG00000078852.1	AVL9
B3GALT5	ZNF655
PHF11	COA1
SLC43A2	MAVS
PRKAA1	LAS1L
LIAS	hsa-mir-1843
HARS	TAGLN3
APLP2	KIAA0907
SEMA3C	PHACTR2
FAM213A	SNORD91A
GAPVD1	ETV3
BTG1	CELF5
ECE1	TRMT10B
STARD13	ARSB
pri-3-hsa-mir-548ae-1	UBE2T
SEC24A	RDH5
PCSK9	TIA1
CALCOCO2	DDX31
TXNL4A	UBE2H
MAL	THOC6
RABL3	PSMD3
SNX6	IDH1
ECM2	CCT5
CATG00000102848.1	DTNB
TBL2	MCFD2
ZNF517	OLFM1
TSPAN11	VEZT
IGIP	SLC35E1
CHRFAM7A	PCSK2
CLCN6	ZC3H11A
CNOT7	LRRC20
CALCRL	DUSP26
C20orf24	CABIN1
SLC10A3	ZNF135
ARL6IP5	KIAA1191
RAD17	TRMT12
HTR3A	RP4-564F22.2
WDSUB1	DYNLL1
VDAC1	MFF
CYB5R3	ZC3H14
SKP1P2	CUZD1
RP11-137L10.6	TRAPPC3
NGF	KIF13A
CD2BP2	CD99
OLFM1	USF3
NRAS	MAP3K4
BRAF	C21orf2
EPS15L1	TLE4
IFT46	FBXO48
RMDN2	FAM171A2
SLC31A1	HMBOX1
SCP2	ZNF439
NALCN	VPS18
MCRS1	B3GAT3
METTL5	ABI1
ART5	TIMM9
AC064853.3	CCDC43
C1orf162	HNRNPR
TMEM205	PRDM6
ZNF516	NOP14
MTDH	MAFG
TAS1R2	KDELR3
PTPRS	LTF
TAGLN2	CATG00000117912.1
NECTIN2	DNM1L
RNASEH2A	CCNY
hsa-mir-6839	LRP1
COL2A1	VDAC2
BEX4	NF2
KCNJ9	RF00156
TGFB2-OT1	RP11-540A21.2
MAPRE3	MFSD9
DHX40	MIRLET7DHG
CACNA1D	PCCA
ADAMTSL5	DDX50
COL18A1	MRPL22
TPP2	CHID1
POLG	NCRNA00105
PARG	ICAM2
ZNF578	TSPAN10
MIER1	ERICH2
RF00012	MNX1
TMF1	C21orf2
DIXDC1	TIPRL
TNFRSF10D	ADA
RP4-756G23.5	TM7SF3
hsa-mir-548aa-1	CLTA
OR8H1	CACHD1
HOMER1	RRP36
DZIP1	CEP63
TTC6	SMC5
PCGF6	MAPK3
ZFAND1	GFAP
ZNF3	RBFOX2
CT45A8	GIPC1
pri-3-hsa-mir-4739	HCP5
CENPB	CES5A
POU6F1	GRB10
OR51T1	JMY
S100A4	RIMKLB
MIEF2	POLD3
FGFR4	KIAA0319L
SART3	MAPKAP1
C12orf75	PIGG
XPO1	TNRC18
GPC3	TNNT2
IL19	DOPEY1
C22orf39	PIK3R3
GRHPR	GBAS
HOXA-AS2	MSANTD4
ZAP70	SLC25A27
ST3GAL5	DYNC1LI2
ZNF141	ADAM15
ZBTB44	KIF13A
ZNF581	GPSM2
UBE2V2	ITGA3
APBA2	SLAMF7
RWDD4	ENGASE
RF00012	TERF2IP
C5orf58	SMAD5
MYL6B	CDKN3
MED7	PTPRS
IL17REL	HMGB1
CROT	BMP4
HSPA6	KDM5C
MCOLN2	EIF4E2
SFI1	PCP2
TMEM179B	PDZD9
KRCC1	PSMG4
pri-3-hsa-mir-191	CTA-85E5.10
FCHSD2	CALD1
VCPKMT	NMT1
FLYWCH1	BOD1L1
ANAPC16	CORO7-PAM16
RP11-325F22.2	HYAL1
DZIP1	BID
RP11-236B18.2	SLC35B3
NTM	SURF2
NCR2	TAB2
LDOC1L	CCDC96
hsa-mir-320e	SULT1A2
ARMT1	ABHD11
FRMD8	USP9X
KRT80	pri-3-hsa-mir-6809
TSNAX-DISC1	IFT22
ANKMY1	EFR3A
SLC24A3	ZNF638
LOC100132356	S100PBP
ITM2B	MRPL17
SSR3	NRBP2
TUBGCP3	UPF3B
ISG20	ACYP1
PRKRA	FASTK
STEAP2	ABI1
NFE2L2	CATG00000107372.1
ZBTB8OS	ACTN1
C1S	ERBB3
STK19	LIMS1
LAMTOR1	FBXO22
HPCAL1	BCL2L13
ZNF248	PSMB5
RF01210	KCND3
RP11-803B1.8	MPPE1
CDX2	ZNF483
MPND	YAP1
PHLDB1	SORL1
CFLAR	RCAN3
RP11-713M15.1	ALDH1A2
SMIM6	MLLT6
RP11-372M18.2	C1orf168
MBNL3	ACOXL
C3orf49	SPTBN5
SLAMF7	MIS12
CHMP4B	METTL13
TMEM199	SREK1
TYROBP	XAF1
N4BP2L2	METTL1
CLN8	NCKAP5L
HMCES	CADPS2
COX6B1	TMEM256
ABHD16A	KCNIP2
PAEP	ACO2
ELP2	TAS2R31
RAB34	REV1
pri-3-hsa-mir-4634	PRC1
hsa-mir-4512	NREP
RP11-613M10.9	DDHD2
FERMT2	FAM188B
PITRM1	SLC1A7
C12orf29	NME4
WASF3	KIR3DX1
UPK3B	PTPN18
ADAMTS1	ARMC9
C5orf22	CLEC7A
MARVELD3	MSTO1
ZNF331	BLOC1S1
ZNF608	ATP6V0B
SYT2	UBA6
ECI1	RP11-493L12.2
DLL3	NAT9
MFAP2	CNTRL
RP5-875H18.4	NRK
FCRLB	PIK3R5
CATG00000005926.1	PIK3IP1
RF00012	KCNK17
RF01210	ARHGAP31
P4HA2	C1orf216
PITRM1	METAP2
ADCK1	CFAP54
SLC25A19	pri-3-hsa-mir-4500
FRYL	JMJD1C
DAB2	BRD7
LKAAEAR1	TOMM70
B4GALT4	CRAT
FKBP15	MCTP1
CMTM6	PCDHGA12
hsa-mir-6774	ANK3
EIF1AY	FASTKD1
SLC4A9	CHD7
LCOR	ZNF195
TAF1	ZNF486
RNU105C	ADAT1
pri-3-hsa-mir-4654	EIF6
ZNF654	TCF7L2
ZNF451	VARS
DNAI2	pri-3-hsa-mir-12126
IFT122	CEBPE
NUP88	LNX2
HNRNPK	CEP70
PLCB1	KCNG2
CTRC	SPAG16
CTNND1	RNF217
SORBS2	CLEC10A
hsa-mir-298	AK2
SDCBP	SNAP47
THADA	PIP4K2C
ANKMY1	ZBTB7A
DUSP22	BORA
NFU1	FAM185A
LGALS9	APEX1
RTCA	TMX2
CRIP2	ZNF32
ANKRD1	PCBP2
LINC-PINT	RP11-18H21.1
LRRC75A-AS1	DPYSL3
GTF2F2	TMEM235
hsa-mir-5572	RP11-297I6.5
VDAC1	SETD4
FBN3	HIST1H1D
COX6A1	SND1
GIT2	CTDP1
MICAL2	DECR1
MAML1	SUSD2
SUPT5H	VCAN
pri-3-hsa-mir-6880	ASPH
STRA6	RP5-862P8.2
DTX2	EGFL7
OR1L6	BAHD1
PDGFB	UPF3A
CCNYL1	TULP3
AP3D1	LINC00965
APPL2	PPM1B
MTVR2	CDYL2
PROS1	YEATS2
SSSCA1	INPP5J
BAX	NAA10
AC106869.2	TMUB2
COCH	UQCRC2
RPS16	MAPK10
NQO1	PPP6R3
FAM8A1	TM4SF1
NDUFC2	ZNF821
OBSCN	SEC24D
KANK4	STRBP
AP3D1	CHDH
RNASEH1	CCNT2
SLC33A1	PHF23
BCKDK	TRPM7
TSHZ3	ITPKC
NAA60	RF00411
SNX11	CBY1
CATG00000065281.1	HFE
PLXNB3	APP
BACE2	GBA
pri-3-hsa-mir-4695	KLC3
JUP	ARL8A
TBX15	PAWR
RBM48	IGSF1
HES7	CCPG1
GAS5	MUC1
OIP5-AS1	VDAC3
USP15	SIGLEC10
GLT8D1	CAST
CATG00000018005.1	DOCK9
MFGE8	LINC00266-3
FAAP100	DNAH2
KIAA1324	MLF1
CCDC89	SCML1
SCRT2	HNRNPA2B1
TRAPPC5	HMG20B
PCED1B	CLCN6
CDC27	UIMC1
TSPAN3	WDYHV1
ZNF566	CALHM2
ST20-MTHFS	PAQR6
SYT3	GUCY1B3
USP19	CDYL
GRAMD3	CCM2
MLST8	CHD1L
CATG00000041439.1	C12orf43
STYX	ARHGEF38
SLC38A5	SMPDL3A
APBB1	CCNA1
AC017076.5	MFAP3L
HYAL2	LGALS8
SEC22C	PACSIN2
HNRNPC	hsa-mir-4450
SLITRK2	YAP1
OSBPL9	CHD1L
BCL2L11	C18orf25
CPZ	NSMCE2
CCL4L2	ZMYND11
EIF4B	TCEAL3
ZNF503-AS2	TRIM73
TET3	RBM12
TMEM106A	ARHGAP26
MPG	FAM20A
PNMA2	hsa-mir-6784
SLC25A12	SART1
IZUMO1R	TRIM3
SNORA70D	ZNF704
FERMT2	AQR
SPOCK2	PRELID3B
TOR1AIP1	RP13-49I15.5
EDNRA	EMILIN1
LNPEP	WDR13
AL441883.1	CTB-175E5.4
SRGAP2	LMX1B
RBM25	RPL13
ITCH	SHC1
COX8C	MR1
CDH23	ZNF740
RPS27A	PTCD2
CDH4	CECR1
PHF10	pri-3-hsa-mir-4646
GLCE	ENOSF1
CSGALNACT2	RBFA
SNHG14	RNF121
AGAP2-AS1	GMNN
C10orf99	CCDC90B
SPAG7	ZFAND6
GMFG	PDLIM7
ZC3HC1	GPR45
TMEM170B	EOGT
CCDC144NL	SEMA6C
RP11-196G11.1	GFI1
PLPP2	SFXN4
IL10RB	PCCA
TCEAL9	COPA
SLC39A1	TMEM120A
ARAF	FANK1
YWHAG	OTUD7A
GLRA4	DHRS11
RP11-150O12.5	TXNRD3
DFNA5	ARNTL2
ARHGAP29	EVI2A
NMD3	C18orf21
DDX39A	POLR2M
RP11-148I19.1	ZFP30
ZNF28	SP140
SLC34A2	SHTN1
pri-3-hsa-mir-483	RBPMS2
TMEM140	COL5A1
TRIM69	THRA
G3BP1	ZMYND19
PAIP2	RANGRF
CRY1	BST2
OR51G2	FBN1
NUP58	hsa-mir-187
ORAOV1	ZNF575
MTHFD1L	PANK2
CCDC112	ZNF44
AC010744.1	ROPN1L
ZNF397	PTPN13
HIC2	NAPRT
MITD1	PSIP1
HAUS3	NPL
RF00272	TNFSF12-TNFSF13
LYSMD2	FYN
MAD2L1BP	PDXDC1
RPP14	ELAVL4
IST1	IGF1
PRKCG	STYXL1
GFM1	CATG00000040479.1
ANGPT1	COG4
TPRKB	LOC606724
pri-3-hsa-mir-150	CALU
BCAS3	LRRC15
GORASP1	CATG00000022530.1
PCDH24	CEP70
UGDH	RNF34
RP13-225O21.2	PORCN
RANBP3	DEDD2
WBSCR16	TCP11L2
CASP3	ACTL10
ZKSCAN3	CCDC90B
C2orf49	PLAT
LINC00649	ADNP
ACE	SURF2
KRTAP10-10	NONO
RAD54L	EDA
44810	PARP6
RPS25	RP3-439I14.1
BX842679.1	MED19
F3	EGLN1
CDK5RAP2	LRRC1
F10	DBNL
CCT6A	CATG00000049898.1
MYNN	BRD1
RPS29	HERC6
TEAD4	KIAA1429
BNIP3	TLN1
PRAG1	UBE2K
PDE4DIP	CATG00000066006.1
ZNF771	MBD4
NSL1	DHRS7
SPC24	ANXA6
PDE4A	DBN1
MBOAT7	KREMEN1
CATG00000034911.1	FBXL19-AS1
BTG3	ANKUB1
CATG00000041044.1	MGEA5
FCRLB	MUTYH
NDUFAF7	UBE2L3
ZG16B	CATG00000038465.1
RP4-575N6.4	ANKS3
FXYD5	SH3PXD2A
SLC12A2	FLII
ATPAF1	TES
SEC23IP	DEFB118
IDNK	RAN
LMTK3	PPP4R3B
CARD19	PDLIM7
ENPP2	ZFX
ANXA11	JMJD8
IDS	WIPF1
HSPBP1	INCENP
SUGCT	WDPCP
TMSB15B	ZDHHC3
ROBO2	NDUFAF6
T	RPE
ADRA2B	TIAL1
PLEKHM2	CMBL
PRSS23	KIAA1671
BEX5	MBD1
KMT5A	B4GALT1
STAU1	PGAP2
ARRB2	DNM2
CNIH4	PAIP1
RP11-454H13.5	CATG00000113805.1
GZMH	SNHG8
CTNND1	KIAA1468
DRG2	SRSF10
GPATCH2L	KCTD11
RSL24D1	ALKBH5
TGFB1I1	pri-3-hsa-mir-26a-1
DFNB59	ELOVL1
NF1	TMEM205
LYRM2	UPP1
QTRT2	OST4
JAKMIP2	PRELID1
ACBD6	AMN1
OAS2	PAQR4
HIST1H3I	LTBP1
CATG00000108894.1	C10orf76
SAT1	ALG14
ZNF773	CDYL
TSPYL5	CCDC120
RP1-90L6.2	CDV3
MFSD13A	RABAC1
NLRP3	GCH1
PAM	VCAN
MROH1	USP39
OASL	CD74
NOTCH4	EHBP1
LIMCH1	BARD1
ZFP69	CFAP221
hsa-mir-548aa-2	KCNC4
TPM3	pri-3-hsa-mir-8077
MYLK	KIF26B
hsa-mir-660	RAB4A
KLF10	RAPGEF2
TLE4	INPP4A
TACSTD2	PAK3
NMRK1	SPTBN1
LIPE	CHRAC1
TROVE2	DOPEY1
AMPD3	RHNO1
TMED7-TICAM2	PANX1
GSK3B	POMGNT1
CCT4	ZNF394
PC	EGFLAM
HCK	KXD1
TAPBPL	CEPT1
ZNF468	MKNK1
CTSV	TJAP1
CATG00000012188.1	UBE2E3
ATF7IP	DPH3
ECSIT	PLXND1
RP11-669N7.2	PARN
COBL	ARL16
SLBP	RP11-752G15.6
UCHL3	DNAJC4
DDHD1	POLR2J
SNORA70E	UPF3A
DGKA	ANKRD26
pri-3-hsa-mir-621	IL17RA
CEP57	SURF4
NCOR2	KLHL20
OCIAD1	SLC29A1
RHOBTB1	SETD2
SRP19	RANBP1
SS18	MYD88
ENTPD1	ST5
TGDS	TRIP10
hsa-mir-1269b	ARL6
MIA2	MBNL1
RILPL2	CTD-3014M21.4
VCAM1	ARRDC5
LYPLA1	VEZT
PDE4DIP	ALDH2
HSPG2	KIAA1328
NEK6	GAREM1
ADARB1	NRIP1
SYNGR3	LOC441081
GPKOW	CADPS2
ERBIN	C19orf43
AC013394.2	TPO
CLCN2	MTRNR2L1
XRCC4	CUEDC2
RP11-205M20.3	RP3-322G13.5
SFSWAP	DSCR3
TYROBP	TCF7L2
SRSF8	CTC-286N12.1
HIST1H3J	RECQL4
C11orf74	DET1
RF01210	C14orf159
CLCC1	PLPP2
LOC100499194	NCOR2
IREB2	UBTD1
ILF2	CNN2
BMP6	CTSC
ZNF626	LIG1
UBAC2	PIGG
RECQL5	CPTP
PTGES3	CXXC4
RP11-446H18.3	CASP6
ALDH2	CCP110
ATP1B1	ISOC2
FIZ1	SH3PXD2A
ZNF28	CDYL
CXCL16	TCOF1
AFAP1L1	PUM1
NABP1	STK31
PIP5K1B	EIF4G1
ZNF525	PDZK1
CATG00000116292.1	AC100748.2
EIF3K	MOK
RP4-541C22.8	IL4R
ARPP21	RPL32
hsa-mir-548d-1	POLDIP3
RANBP3	ZNF346
PPP2R2B	STRIP1
WBSCR22	SNORA72
CELF6	YKT6
TCL1B	INTS11
AC003029.1	AATF
CTNND1	UPF1
ZNF846	MGLL
DDIT4	MSANTD2
MT1G	C1orf123
ZNF595	FAM89B
RNF167	ALOXE3
NR5A1	RP13-685P2.5
FRMD8	LAMTOR4
ARMCX4	SENP3
CPAMD8	SERPIND1
SSBP4	DNM2
BTN3A1	CXCR4
COQ9	TTC39C
ERAS	TMEM183A
LTA4H	YIF1A
ZNF248	MUC1
RP11-346D14.1	BSG
GATA4	ITM2A
SH3GLB1	ASRGL1
CDK5RAP3	MICAL2
XXbac-BPG308K3.6	SNORA1B
MYH10	TIA1
ICAM3	C8orf41
CAAP1	RP5-903G2.2
C16orf72	UBN1
PSMB9	MTMR3
GLIPR2	DHFR
ATF1	FAM136A
SRSF1	FAM127B
ASAH1	CSPG5
SAT1	PHF14
GSPT1	SYTL2
RP11-586D19.2	DICER1
DTNA	OPN1MW3
MED15	RP1-27O5.3
CKLF	C16orf87
MAGEA3	ACYP1
RF00012	RHBDL1
PPA2	PDE4D
TTYH1	PIK3C2A
AKT1S1	ARSE
IKZF1	SS18
GPR132	CD300LF
GSN	UBALD1
FBXO2	CATG00000073314.1
RFC2	ZBTB43
DOCK8	ECI2
ABAT	PATZ1
SRPK3	PTCH1
GID4	CCSAP
LYPLAL1	TMED5
ZNF93	ARG2
TRAPPC3	PSIP1
C9orf3	CCDC14
CUTA	THRAP3
PPP1R12B	CSDE1
NOSTRIN	C18orf8
TMEM33	KIAA1549L
CCDC92	RNPC3
TUBB1	RP11-166B2.1
CPEB2	ANKDD1A
CACNB4	ETFB
MPLKIP	RPL13
LOC644936	SLFN5
MIA2	GALNT1
KLK8	CTD-3018O17.3
MAD2L2	RP11-191N8.2
SPRYD4	PHACTR4
WARS2	RRM2
INSIG1	C16orf87
ARMC10	MEF2A
POT1	CCBL2
MICA	ZNF841
CELSR3	DDX27
DYNLT1	ZNF789
IMMP2L	ARNTL
CCDC91	GEMIN7
NEDD1	INTS6L
CATG00000088201.1	SRRM1
NPTXR	DMTN
ARFGEF3	BIN1
ABHD14B	DCUN1D1
ADAMTS6	ATP5G3
ZNF669	C19orf40
IQGAP2	CAV1
AC016586.1	SCN1B
POLR1A	CPT1C
CEP57L1	PFKFB3
MAGEB3	HIST1H2BC
NRP1	PFDN2
LAIR2	ARHGAP5
ALOX15B	SLC20A2
PLAC9	CHRNA1
PEX2	DTNBP1
LAMP1	LDLR
TBX4	FBXW5
SLC26A1	IMMT
CTA-292E10.6	TXN2
